,address,postcode,Huurprijs,Aangeboden sinds,Status,Beschikbaar,Interieur,Woonoppervlakte,Perceeloppervlakte,Inhoud,Type woning,Soort woning,Soort bouw,Bouwjaar,Aantal kamers,Aantal slaapkamers,Aantal badkamers,Aantal woonlagen,Aanwezig,url,Ligging,Voorzieningen,Tuinbeschrijving,Isolatie,Verwarming,Huurovereenkomst,Looptijd,Servicekosten,Balkon,Tuin,Onderhoudsstaat,Warm water,Omschrijving,Borg,Schuur/Berging,region,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,energielabel,balcony,Garden,garden_size,garden,Deposit,Duration
24,Appartement Staalstraat in Utrecht,3572 RK ,€ 1.275 per maand,2 weken,Te huur,Per 09-11-2022,Gemeubileerd,65 m²,120 m²,,"Appartement
Bekijk alle appartementen in Utrecht",Benedenwoning,Bestaande bouw,1905.0,3.0,1.0,1.0,,Nee,https://www.huurwoningen.nl/huren/utrecht/1316749/staalstraat/,"In het centrum
 In een woonwijk
 Aan een rustige weg","Internet
 Rioolaansluiting
 Aparte douche",,,,Tijdelijke verhuur,,,Niet aanwezig,Aanwezig,Goed,,,,,Wittevrouwen,1275,,65,3.0,1.0,1.0,,False,Aanwezig,,True,,
25,Appartement Weerdsingel O.Z. in Utrecht,3514 AG ,€ 1.500 per maand,21-10-2022,Te huur,Per 01-11-2022,Gemeubileerd,75 m²,70 m²,200 m³,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",Bestaande bouw,1880.0,2.0,1.0,,1.0,Nee,https://www.huurwoningen.nl/huren/utrecht/1320429/weerdsingel-o-z/,,,,,,,,,Niet aanwezig,,,,,€ 1.800,,Vogelenbuurt,1500,,75,2.0,1.0,,,False,,,False,€ 1800,
26,Appartement Van Hoornekade in Utrecht,3554 AT ,€ 1.100 per maand,21-10-2022,Te huur,Per direct,,90 m²,,225 m³,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",Bestaande bouw,1931.0,4.0,2.0,0.0,1.0,Nee,https://www.huurwoningen.nl/huren/utrecht/1320362/van-hoornekade/,,,,,,Onbepaalde tijd,,,,Niet aanwezig,Goed,,,,,Geuzenwijk,1100,,90,4.0,2.0,0.0,,False,Niet aanwezig,,False,,
27,Appartement Marshalllaan in Utrecht,3527 TW ,"€ 1.325 per maand

Exclusief: Servicekosten",7 weken,Te huur,Per 01-12-2022,Kaal,78 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1960.0,4.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1311190/marshalllaan/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 45,,"Aanwezig (30 m², gelegen op het noordoosten)",,,,,,Kanaleneiland-Noord,1325,45,78,4.0,,,,False,Aanwezig,30,True,,Minimaal 12 maanden
28,Appartement 2e Spechtstraat in Utrecht,3514 TW ,€ 1.625 per maand,19-10-2022,Te huur,Per 01-12-2022,Gestoffeerd,110 m²,110 m²,330 m³,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",Bestaande bouw,1904.0,3.0,2.0,1.0,2.0,Nee,https://www.huurwoningen.nl/huren/utrecht/1319852/2e-spechtstraat/,"Aan een rustige weg
 In het centrum",Bad,,,,,,,Aanwezig,"Aanwezig (12 m², gelegen op het noordwesten)",,,,,,Vogelenbuurt,1625,,110,3.0,2.0,1.0,,True,Aanwezig,12,True,,
29,Appartement Burgemeester van Tuyllkade in Utrecht,3553 AM ,€ 1.200 per maand,13-10-2022,Te huur,Per 04-12-2022,Gestoffeerd,60 m²,,200 m³,"Appartement
Bekijk alle appartementen in Utrecht",Benedenwoning,Bestaande bouw,1935.0,2.0,1.0,1.0,,Nee,https://www.huurwoningen.nl/huren/utrecht/1318915/burgemeester-van-tuyllkade/,"Vrij uitzicht
 Nabij een winkelcentrum","Wasruimte
 Aparte douche
 Apart toilet",,,,Onbepaalde tijd,,,Niet aanwezig,Aanwezig,Goed,,,,,Elinkwijk en omgeving,1200,,60,2.0,1.0,1.0,,False,Aanwezig,,True,,
30,Appartement Vleutenseweg in Utrecht,3532 HL ,€ 1.650 per maand,18-10-2022,Te huur,Per 26-10-2022,Gemeubileerd,47 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Galerijflat, Appartement",,,2.0,1.0,1.0,,Ja,https://www.huurwoningen.nl/huren/utrecht/1319692/vleutenseweg/,,,,,,,,,Aanwezig,Aanwezig,,,,,,Lombok-Oost,1650,,47,2.0,1.0,1.0,,True,Aanwezig,,True,,
31,Appartement Tannhäuserdreef in Utrecht,3561 HL ,"€ 1.450 per maand

Exclusief: Servicekosten",3 maanden,Te huur,Per 01-11-2022,Kaal,80 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1965.0,4.0,,,,Nee,https://www.huurwoningen.nl/huren/utrecht/1300225/tannhaeuserdreef/,,,,,,Onbepaalde tijd,Minimaal 12 maanden,€ 63,Aanwezig,,,,,,,Taag- en Rubicondreef en omgeving,1450,63,80,4.0,,,,True,,,False,,Minimaal 12 maanden
32,Appartement Bakhuizen van den Brinkstraat in Utrecht,3532 GA ,€ 1.150 per maand,21-10-2022,Te huur,Per 01-11-2022,Gemeubileerd,35 m²,,,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",,1950.0,2.0,1.0,1.0,,Nee,https://www.huurwoningen.nl/huren/utrecht/1320405/bakhuizen-van-den-brinkstraat/,,,,,,,,,,Aanwezig,,,,,,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1150,,35,2.0,1.0,1.0,,False,Aanwezig,,True,,
33,Appartement Kanaalweg in Utrecht,3533 HH ,"€ 1.095 per maand

Exclusief: Servicekosten",2 weken,Te huur,Per 01-11-2022,,38 m²,,100 m³,"Appartement
Bekijk alle appartementen in Utrecht","Portiekflat, Appartement",Bestaande bouw,2017.0,2.0,1.0,1.0,1.0,Nee,https://www.huurwoningen.nl/huren/utrecht/1317793/kanaalweg/,,"Apart toilet
 Aparte douche",,,,Onbepaalde tijd,,€ 55,,Niet aanwezig,Goed,,,,,Oog in Al,1095,55,38,2.0,1.0,1.0,,False,Niet aanwezig,,False,,
