address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration
CAB-rondom 13,3534 BJ,934,,75.0,2.0,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991067-cab-rondom-13/,,,,,,
Oud-Wulvenplantsoen 69,3523 XS,1524,4500.0,89.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42836273-oud-wulvenplantsoen-69/,,,,,,
Twellosebeeklaan 159,3521 DR,950,,49.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989621-twellosebeeklaan-159/,,,,,,
Marshalllaan 333,3527 TJ,725,4500.0,41.0,2.0,1.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88339649-marshalllaan-333/,,,,,,
Faustdreef 475,3561 LR,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88332148-faustdreef-475/,,,,,,
Buys Ballotstraat 5 Bel,3572 ZN,1250,,54.0,3.0,1.0,,True,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42987734-buys-ballotstraat-5-bel/,,,,,,
Faustdreef 37,3561 LA,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88231535-faustdreef-37/,,,,,,
Twellosebeeklaan 149,3521 DR,1175,,53.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989610-twellosebeeklaan-149/,,,,,,
Twellosebeeklaan 325,3521 DR,1510,,80.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989612-twellosebeeklaan-325/,,,,,,
Euterpedreef 62,3561 CX,1300,,75.0,3.0,2.0,2.0,True,False,E,https://www.funda.nl/huur/utrecht/appartement-88354989-euterpedreef-62/,,,,,,
Twellosebeeklaan 141,3521 DR,1525,,81.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989628-twellosebeeklaan-141/,,,,,,
Twellosebeeklaan 295,3521 DR,1070,,50.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989626-twellosebeeklaan-295/,,,,,,
Springweg 452,3511 VZ,1195,,45.0,1.0,,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-42899247-springweg-452/,,,,,,
Pieterskerkhof 23 L,3512 JS,1750,10000.0,63.0,2.0,1.0,2.0,False,False,A+++,https://www.funda.nl/huur/utrecht/appartement-88357733-pieterskerkhof-23-l/,,,,,,
CAB-rondom 149,3534 BJ,927,,74.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992399-cab-rondom-149/,,,,,,
Camposdreef 16,3563 XM,1050,,66.0,2.0,1.0,2.0,True,True,A++,https://www.funda.nl/huur/utrecht/appartement-42988118-camposdreef-16/,,,,,,
Carel Willinkstraat 43,3544 MA,1650,,80.0,3.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/huis-88343683-carel-willinkstraat-43/,,,,,,
Hickorylaan 76,3545 CT,1329,6500.0,108.0,4.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814468-hickorylaan-76/,,,,,,
Hickorylaan 154,3545 CT,1085,6500.0,73.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814459-hickorylaan-154/,,,,,,
Van Weerden Poelmanlaan 2,3527 KN,1350,,92.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88331638-van-weerden-poelmanlaan-2/,,,,,,
Burgemeester Reigerstraat 2 B,3581 KR,1425,,56.0,2.0,1.0,2.0,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42987983-burgemeester-reigerstraat-2-b/,,,,,,
Hickorylaan 120,3545 CT,1274,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813354-hickorylaan-120/,,,,,,
Hickorylaan 418,3545 CT,1105,6500.0,73.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814458-hickorylaan-418/,,,,,,
Pablo Picassostraat,3544 NX,1295,,88.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42964767-pablo-picassostraat/,,,,,,
Hickorylaan 268,3545 CT,1322,6500.0,104.0,3.0,2.0,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42813344-hickorylaan-268/,,,,,,
CAB-rondom 151,3534 BJ,927,,74.0,2.0,1.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42991036-cab-rondom-151/,,,,,,
