,address,postcode,Huurprijs,Waarborgsom,Huurovereenkomst,Aangeboden sinds,Status,Aanvaarding,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Gebruiksoppervlakten,Wonen,Overige inpandige ruimte,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Voorlopig energielabel,Isolatie,Verwarming,Warm water,Ligging,Soort garage,Soort parkeergelegenheid,url,Specifiek,Externe bergruimte,Energielabel,Schuur/berging,Inschrijving KvK,Jaarlijkse vergadering,Periodieke bijdrage,Reservefonds aanwezig,Onderhoudsplan,Opstalverzekering,Balkon/dakterras,Tuin,Oorspronkelijke huurprijs,Cv-ketel,Soort woonhuis,Achtertuin,Ligging tuin,Oppervlakte,Capaciteit,Bouwperiode,Patio/atrium,Keurmerken,Zonneterras,Perceel,rental_price,service_costs,living_area,rooms,bedrooms,badkamer,toilet,bathrooms,energielabel,Energierating,balcony,garden,garden_size
104,Pablo Picassostraat,3544 NX,€ 1.295 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,3 weken,Beschikbaar,In overleg,Portiekflat,Nieuwbouw,2022,,,88 m²,,,228 m³,3 kamers (2 slaapkamers),,,6 woonlagen,6e woonlaag,,,,,,,Parkeerplaats,,https://www.funda.nl/huur/utrecht/appartement-42964767-pablo-picassostraat/,,,Niet beschikbaar,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,,1295,,88,3,2,,,,Niet beschikbaar,,False,False,
105,Hickorylaan 268,3545 CT,"€ 1.322 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,104 m²,8 m²,35 m²,270 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,1e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42813344-hickorylaan-268/,,,,,,,,,,,,Zonneterras,,,,,,,,,,,,,1322,6500,104,3,2,1 badkamer , 1 apart toilet,2.0,A,,False,True,
106,CAB-rondom 151,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,74 m²,,11 m²,192 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42991036-cab-rondom-151/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,,927,,74,2,1,1 badkamer , 1 apart toilet,2.0,A,,True,False,
107,Hickorylaan 300,3545 CT,"€ 1.111 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,78 m²,2 m²,7 m²,202 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,2e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42813339-hickorylaan-300/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,,1111,6500,78,3,2,1 badkamer , 1 apart toilet,2.0,A,,True,False,
108,Prinses Beatrixplein 20,3523 VD,"€ 1.500 per maand (exclusief servicekosten à € 50,00 /mnd)",€ 1.500 eenmalig,Tijdelijke verhuur,2 weken,Onder optie,Beschikbaar per 1-11-2022,Portiekflat (appartement),Bestaande bouw,2001,,,70 m²,,,210 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,1e woonlaag,Elektra,,Dubbel glas,Cv-ketel,Cv-ketel,Aan rustige weg en in woonwijk,Parkeerkelder,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42987585-prinses-beatrixplein-20/,Gemeubileerd en gestoffeerd,5 m²,B,Box,,,,,,,,Achtertuin,,"Gas gestookt combiketel uit 2002, eigendom",,"25 m² (4,1 meter diep en 6,15 meter breed)",Gelegen op het zuidoosten bereikbaar via achterom,,,,,,,,1500,5000,70,3,2,1 badkamer , 1 apart toilet,2.0,B,,False,True,25
109,Twellosebeeklaan 183,3521 DR,€ 950 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,49 m²,,4 m²,128 m³,2 kamers (1 slaapkamer),,,5 woonlagen,2e woonlaag,,A,,,,,Parkeerkelder,,https://www.funda.nl/huur/utrecht/appartement-42989619-twellosebeeklaan-183/,,,,,Nee,Nee,Nee,Nee,Nee,Nee,Balkon aanwezig,,,,,,,,,,,,,,950,,49,2,1,,,,A,,True,False,
110,Hickorylaan 262,3545 CT,"€ 1.111 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,78 m²,2 m²,7 m²,202 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,1e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814463-hickorylaan-262/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,,1111,6500,78,3,2,1 badkamer , 1 apart toilet,2.0,A,,True,False,
111,Tannhäuserdreef 178,3561 HL,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,6e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88228346-tannhauserdreef-178/,,,"D
            1,72",,Nee,Nee,Nee,Nee,Nee,Nee,,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,,,,,,,,,1450,6300,80,4,3,,,,D,"1,72",False,False,
112,Nijenoord 315,3552 AS,"€ 1.411 per maand (exclusief servicekosten à € 55,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,Per direct beschikbaar,Bovenwoning,Bestaande bouw,1957,,,97 m²,,,252 m³,4 kamers (3 slaapkamers),,,1 woonlaag,,,,,,,Zeezicht,,,https://www.funda.nl/huur/utrecht/appartement-42817532-nijenoord-315/,,,Niet beschikbaar,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,,1411,5500,97,4,3,,,,Niet beschikbaar,,False,False,
113,Twellosebeeklaan 123,3521 DR,€ 1.040 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,50 m²,,9 m²,130 m³,2 kamers (1 slaapkamer),,,5 woonlagen,1e woonlaag,,A,,,,,Parkeerplaats,,https://www.funda.nl/huur/utrecht/appartement-42989635-twellosebeeklaan-123/,,,,,Nee,Nee,Nee,Nee,Nee,Nee,Balkon aanwezig,,,,,,,,,,,,,,1040,,50,2,1,,,,A,,True,False,
