,Unnamed: 0,address,postcode,Huurprijs,Waarborgsom,Huurovereenkomst,Aangeboden sinds,Status,Aanvaarding,Soort appartement,Soort bouw,Bouwjaar,Specifiek,Gebruiksoppervlakten,Wonen,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Voorlopig energielabel,Isolatie,Verwarming,Warm water,Ligging,Balkon/dakterras,Soort parkeergelegenheid,url,Soort dak,Overige inpandige ruimte,Soort garage,Soort woonhuis,Perceel,Energielabel,Cv-ketel,Tuin,Achtertuin,Ligging tuin,Bouwperiode,Externe bergruimte,Schuur/berging,Inschrijving KvK,Jaarlijkse vergadering,Periodieke bijdrage,Reservefonds aanwezig,Onderhoudsplan,Opstalverzekering,Zonneterras,Oorspronkelijke huurprijs,Capaciteit,Keurmerken,Oppervlakte,rental_price,service_costs,rooms,bedrooms,Energierating
20,20,CAB-rondom 13,3534 BJ,€ 934 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Maisonnette (appartement),Nieuwbouw,2022,,,75,,195 m³,2 kamers,1 badkamer en 1 apart toilet,,2 woonlagen,,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42991067-cab-rondom-13/,Plat dak bedekt met bitumineuze dakbedekking,,,,,A,,Zonneterras,,,,,,,,,,,,,,,,,934,,2 kamers,,
21,21,Herenstraat 6 N,3512 KC,€ 1.600 per maand (geen servicekosten),€ 1.950 eenmalig,Onbepaalde tijd,14 oktober 2022,Beschikbaar,Beschikbaar per 1-12-2022,Maisonnette (appartement),Bestaande bouw,Voor 1906,Gemeubileerd en monument,,58,,153 m³,3 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Ligbad en douche,2 woonlagen,1e woonlaag,"Mechanische ventilatie, natuurlijke ventilatie en TV kabel",,Volledig geïsoleerd,Stadsverwarming,Centrale voorziening,In centrum,,Betaald parkeren,https://www.funda.nl/huur/utrecht/appartement-42996612-herenstraat-6-n/,Zadeldak bedekt met leisteen,,,,,Niet verplicht,,,,,,,,,,,,,,,,,,,1.600,,3 kamers ,1 slaapkamer,
22,22,Euterpedreef 62,3561 CX,€ 1.300 per maand (geen servicekosten),€ 2.600 eenmalig,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Bestaande bouw,1968,,,75,8 m²,233 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en TV kabel",,"Dakisolatie, muurisolatie en vloerisolatie",Stadsverwarming,Elektrische boiler (huur) en stadsverwarming,In woonwijk en vrij uitzicht,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-88354989-euterpedreef-62/,Plat dak bedekt met bitumineuze dakbedekking,,,,,E,,,,,,3 m²,Inpandig,Ja,Ja,Ja,Ja,Ja,Ja,,,,,,1.300,,3 kamers ,2 slaapkamers,"2,38"
23,23,CAB-rondom 131,3534 BJ,€ 1.455 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2023,,,96,17 m²,249 m³,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992029-cab-rondom-131/,Plat dak bedekt met bitumineuze dakbedekking,3 m²,,,,A,,,,,,,,,,,,,,,,,,,1.455,,4 kamers ,3 slaapkamers,
24,24,Carel Willinkstraat 43,3544 MA,€ 1.650 per maand (geen servicekosten),€ 3.300 eenmalig,Tijdelijke verhuur,10 oktober 2022,Beschikbaar,Beschikbaar per 15-11-2022,,Bestaande bouw,2005,,,80,16 m²,298 m³,3 kamers (2 slaapkamers),1 apart toilet,,3 woonlagen,,Elektra en verwarming,,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,In woonwijk,,Op eigen terrein en openbaar parkeren,https://www.funda.nl/huur/utrecht/huis-88343683-carel-willinkstraat-43/,,,Parkeerplaats,"Eengezinswoning, tussenwoning",,A,,Zonneterras,,Gelegen op het zuidwesten,,,Inpandig,,,,,,,"16 m² (3,2 meter diep en 5 meter breed)",,,,,1.650,,3 kamers ,2 slaapkamers,
25,25,Pal Maleterstraat 11,3573 PE,€ 1.645 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,6 weken,Beschikbaar,In overleg,Galerijflat,Bestaande bouw,1991,Gedeeltelijk gestoffeerd,,112,3 m²,272 m³,4 kamers (3 slaapkamers),,,2 woonlagen,,Lift,,,,,,,Parkeervergunningen,https://www.funda.nl/huur/utrecht/appartement-88200970-pal-maleterstraat-11/,,4 m²,,,,B,,,,,,,,,,,,,,,,,,,1.645,,4 kamers ,3 slaapkamers,
26,26,Oudenoord 256,3513 EV,"€ 1.146 per maand (exclusief servicekosten à € 30,00 /mnd)",Geen,Onbepaalde tijd,4 weken,Beschikbaar,Per direct beschikbaar,Galerijflat,Bestaande bouw,2017,,,54,,151 m³,2 kamers (1 slaapkamer),,,5 woonlagen,5e woonlaag,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42804258-oudenoord-256/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.146,"30,00",2 kamers ,1 slaapkamer,"0,87"
27,27,Faustdreef 475,3561 LR,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,2 weken,Beschikbaar,Beschikbaar per 1-1-2023,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,9e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88332148-faustdreef-475/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.450,"63,00",4 kamers ,3 slaapkamers,"2,06"
28,28,Wilde rucolavliet 41,3545 CL,€ 1.235 per maand (servicekosten onbekend),€ 3.837 eenmalig,Onbepaalde tijd,14 oktober 2022,Beschikbaar,Beschikbaar per 1-12-2022,Galerijflat (appartement),Bestaande bouw,2020,,,81,8 m²,211 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,,Dubbel glas en volledig geïsoleerd,Stadsverwarming en gedeeltelijke vloerverwarming,Stadsverwarming,Aan rustige weg en in woonwijk,Balkon aanwezig,Op eigen terrein,https://www.funda.nl/huur/utrecht/appartement-42983233-wilde-rucolavliet-41/,Plat dak bedekt met bitumineuze dakbedekking,,Parkeerplaats,,,A,,,,,,5 m²,Box,,,,,,,,,,,,1.235,,3 kamers ,2 slaapkamers,
29,29,Faustdreef 105,3561 LC,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 30-11-2022,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,6e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88251276-faustdreef-105/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"2,35"
