,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Deposit,Duration
34,Appartement Wijde Begijnestraat in Utrecht,3512 AW ,1400,,60,2.0,1.0,1.0,False,False,,https://www.huurwoningen.nl/huren/utrecht/1318446/wijde-begijnestraat/,,,
35,Appartement 2e Atjehstraat in Utrecht,3531 SR ,1495,,60,2.0,1.0,0.0,False,True,,https://www.huurwoningen.nl/huren/utrecht/1320500/2e-atjehstraat/,9,,
36,Appartement Nachtegaalstraat in Utrecht,3581 AB ,1395,,65,2.0,1.0,1.0,False,False,,https://www.huurwoningen.nl/huren/utrecht/1319584/nachtegaalstraat/,,,
37,Appartement Faustdreef in Utrecht,3561 LR ,1450,63,80,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1316397/faustdreef/,,,Minimaal 12 maanden
38,Appartement Faustdreef in Utrecht,3561 LP ,1450,63,80,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1302915/faustdreef/,,,Minimaal 12 maanden
39,Huis Piet Heinstraat in Utrecht,3582 BX ,1675,,70,2.0,1.0,0.0,False,True,,https://www.huurwoningen.nl/huren/utrecht/1318951/piet-heinstraat/,50,,
40,Appartement Grifthoek in Utrecht,3514 JJ ,1569,55,80,3.0,2.0,1.0,False,False,,https://www.huurwoningen.nl/huren/utrecht/1319857/grifthoek/,,,
41,Appartement Smakkelaarsveld in Utrecht,3511 EA ,1450,,50,2.0,1.0,1.0,True,False,,https://www.huurwoningen.nl/huren/utrecht/1319700/smakkelaarsveld/,,,
42,Appartement Schoutenstraat in Utrecht,3512 GB ,1295,,60,2.0,1.0,1.0,False,False,,https://www.huurwoningen.nl/huren/utrecht/1318939/schoutenstraat/,,,
43,Appartement Merelstraat in Utrecht,3514 CL ,1150,175,26,2.0,1.0,0.0,True,False,,https://www.huurwoningen.nl/huren/utrecht/1319927/merelstraat/,,,
44,Appartement Marshalllaan in Utrecht,3527 TV ,1450,45,78,3.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1316551/marshalllaan/,,,Minimaal 12 maanden
45,Huis Korenbloemstraat in Utrecht,3551 GM ,1750,,85,4.0,2.0,2.0,False,True,,https://www.huurwoningen.nl/huren/utrecht/1320406/korenbloemstraat/,,,
46,Appartement Loeff Berchmakerstraat in Utrecht,3512 TC ,1050,,35,2.0,,1.0,False,False,,https://www.huurwoningen.nl/huren/utrecht/1318124/loeff-berchmakerstraat/,,,
47,Appartement Faustdreef in Utrecht,3561 LK ,1450,63,80,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1302923/faustdreef/,,,Minimaal 12 maanden
48,Appartement Marshalllaan in Utrecht,3527 TV ,1395,45,78,3.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1306144/marshalllaan/,,,Minimaal 12 maanden
49,Appartement Marshalllaan in Utrecht,3527 TW ,925,45,41,2.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1305939/marshalllaan/,,,Minimaal 12 maanden
50,Huis Wijde Doelen in Utrecht,3512 XN ,1495,,84,3.0,2.0,1.0,False,False,,https://www.huurwoningen.nl/huren/utrecht/1319641/wijde-doelen/,,,
51,Appartement Marshalllaan in Utrecht,3527 TW ,1450,45,78,3.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1316502/marshalllaan/,,,Minimaal 12 maanden
52,Appartement Catharijnesingel in Utrecht,3511 GM ,1600,250,32,2.0,1.0,0.0,False,False,,https://www.huurwoningen.nl/huren/utrecht/1316479/catharijnesingel/,,,
53,Appartement Marshalllaan in Utrecht,3527 TJ ,1395,45,78,3.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1306646/marshalllaan/,,,Minimaal 12 maanden
54,Appartement Tannhäuserdreef in Utrecht,3561 HS ,1450,63,80,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1298335/tannhaeuserdreef/,,,Minimaal 12 maanden
55,Appartement Faustdreef in Utrecht,3561 LC ,1450,63,80,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1307263/faustdreef/,,,Minimaal 12 maanden
56,Appartement Monnetlaan in Utrecht,3527 GN ,1350,45,57,3.0,,,False,True,,https://www.huurwoningen.nl/huren/utrecht/1315000/monnetlaan/,30,,Minimaal 12 maanden
57,Appartement Marshalllaan in Utrecht,3527 TH ,1450,45,78,3.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1311397/marshalllaan/,,,Minimaal 12 maanden
58,Appartement Breedstraat in Utrecht,3512 TX ,1400,,48,2.0,1.0,0.0,False,False,,https://www.huurwoningen.nl/huren/utrecht/1317560/breedstraat/,,,
59,Appartement Faustdreef in Utrecht,3561 LR ,1395,63,80,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1287249/faustdreef/,,,Minimaal 12 maanden
60,Appartement Tannhäuserdreef in Utrecht,3561 HK ,1450,63,80,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1290023/tannhaeuserdreef/,,,Minimaal 12 maanden
61,Appartement Tannhäuserdreef in Utrecht,3561 HL ,1450,63,80,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1311189/tannhaeuserdreef/,,,Minimaal 12 maanden
